"x","y","mmi","mmi_class"
-1472580.84815215,1440931.87811344,19.38,"Poor"
-1576315.36923827,1684509.27220555,26.53,"Poor"
-1405480.39749617,1568954.22935701,8.33,"Poor"
-1706495.20809838,1324055.30467094,29.45,"Poor"
-1421429.83075749,1564924.26845155,9.52,"Poor"
-1717469.34460611,1300616.24188027,28.08,"Poor"
-1229433.9684319,1201229.81335054,81.05,"Good"
-1404665.45515808,1592010.04411029,14.15,"Poor"
-1368321.30478487,1279832.10012294,80.3,"Good"
-1697050.03072098,1235175.58735205,6.35,"Poor"
-1373415.73662863,1646709.68935458,6.17,"Poor"
-1536534.38578983,1590143.92121615,13.02,"Poor"
-1399654.8655824,1313811.07657571,63.53,"Good"
-1216802.16170738,1155998.40030055,24.9,"Poor"
-1463873.89559894,1611408.7893617,21.9,"Poor"
-1278271.26579312,1184323.55708485,56.03,"Fair"
-1230776.36278842,1191898.80006989,74.18,"Good"
-1244682.74048211,1201434.53384461,47.85,"Fair"
-1200914.58074028,1261562.32459695,46.33,"Fair"
-1416747.77028606,1055426.63932261,5.88,"Poor"
-1274000.79478906,1351098.29097457,13.03,"Poor"
-1875376.25789891,1391777.42977822,63.9,"Good"
-2283621.75241911,2043329.67618581,33.68,"Poor"
-2167043.61208912,2030412.57817357,29.45,"Poor"
-2242010.79037308,2140732.95812634,84.72,"Good"
-2039029.31542288,2002957.75483284,45.08,"Fair"
-2161195.35639022,1573555.38265848,73.9,"Good"
-2264607.77208622,2285662.70808664,54.02,"Good"
-2035146.41653327,1880469.31737335,55.47,"Good"
-2172715.71907812,2419222.01881282,79.62,"Good"
-2001655.25364058,1944749.25184446,70.72,"Good"
-2095560.68292158,1534907.60648964,43.77,"Fair"
-2306680.54911484,2352465.95255987,71.47,"Good"
-1899542.41722462,1298666.71894741,26.58,"Poor"
-2226245.20009168,1890170.53382255,71.95,"Good"
-2028741.27655416,1795900.43895703,46.5,"Fair"
-2254867.17359049,2363535.81806284,22.9,"Poor"
-2080635.69805043,1508086.42189875,44.75,"Fair"
-2292306.28203881,2082298.13767551,52.6,"Fair"
-2178694.76985503,2049077.02002162,36.35,"Poor"
-2223377.39196016,2294020.97930019,58.8,"Good"
-2037806.52974027,1505467.93734391,24.87,"Poor"
-2247712.69814208,2387184.20204114,34.67,"Poor"
-2016209.85077198,2316276.35572316,12,"Poor"
-2103861.9924361,2105154.40633367,67.82,"Good"
-2166004.05270912,2209644.0153095,57.03,"Good"
-2282823.6016673,2388046.97186427,25.83,"Poor"
-2113101.86226839,2169782.49546697,42.13,"Fair"
-2172173.8139984,1906456.38751194,18.2,"Poor"
-2306473.56099293,2262077.32784843,30.92,"Poor"
-2162654.64751799,2017231.25208924,59.28,"Good"
-2188403.69523815,2405188.36768836,53.1,"Good"
-2097820.30659308,2154414.70163073,60.9,"Good"
-2001705.38587006,1940175.74122323,76.47,"Good"
-2321156.91619508,2313989.51526081,34.17,"Poor"
-2216835.81596878,2352284.52640758,62.05,"Good"
